i,position,debut date,peak date,weeks on chart,wks40,wks20,wks10,peakpos,weeks at peak,rank,wks,artist,title
0,37,1979-09-22,1979-09-29,3,2,0,0,37,0,23,0,Frank Zappa,Joe's Garage
0,90,1979-09-22,1979-09-29,3,0,0,0,90,0,19,0,Led Zeppelin,Led Zeppelin IV
0,92,1979-09-22,1979-09-29,3,0,0,0,92,0,18,0,The Pointer Sisters,Priority
0,97,1979-09-22,1979-09-29,3,0,0,0,97,0,17,0,Bette Midler,Thighs And Whispers
0,121,1979-09-22,1979-09-29,3,0,0,0,121,0,13,0,Led Zeppelin,Houses Of The Holy
0,99,1979-09-22,1979-09-29,3,0,0,0,99,0,16,0,Kool & The Gang,Ladies' Night
0,149,1979-09-22,1979-09-29,3,0,0,0,149,0,10,0,J.D. Souther,You're Only Lonely
0,155,1979-09-22,1979-09-29,3,0,0,0,155,0,8,0,Garland Jeffreys,American Boy + Girl
0,172,1979-09-22,1979-09-29,3,0,0,0,172,0,5,0,Carolyne Mas,Carolyne Mas
0,171,1979-09-22,1979-09-29,3,0,0,0,171,0,6,0,Gamma,Gamma
0,116,1979-09-22,1979-09-29,3,0,0,0,116,0,15,0,Rita Coolidge,Satisfied
0,120,1979-09-22,1979-09-29,3,0,0,0,120,0,14,0,Brenda Russell,Brenda Russell
0,143,1979-09-22,1979-09-29,3,0,0,0,143,0,11,0,Ian Gomm,Gomm With The Wind
1,19,1979-09-29,1979-09-29,3,2,2,0,19,2,24,1,Foreigner,Head Games
1,79,1979-09-29,1979-09-29,3,0,0,0,79,2,22,1,Karla Bonoff,Restless Nights
1,80,1979-09-29,1979-09-29,3,0,0,0,80,2,21,1,Kenny Rogers,Kenny
1,87,1979-09-29,1979-09-29,3,0,0,0,87,2,20,1,Molly Hatchet,Flirtin' With Disaster
1,135,1979-09-29,1979-09-29,3,0,0,0,135,2,12,1,Crystal Gayle,Miss The Mississippi
1,153,1979-09-29,1979-09-29,3,0,0,0,153,2,9,1,Isaac Hayes,Don't Let Go
1,160,1979-09-29,1979-09-29,3,0,0,0,160,2,7,1,Ellen Folly,Nightout
1,174,1979-09-29,1979-09-29,3,0,0,0,174,0,4,41,Led Zeppelin,The Song Remains The Same (Soundtrack)
1,183,1979-09-29,1979-09-29,3,0,0,0,183,2,3,1,Genya Ravan,And I Mean It
1,184,1979-09-29,1979-09-29,3,0,0,0,184,0,2,86,Led Zeppelin,Led Zeppelin
1,187,1979-09-29,1979-09-29,3,0,0,0,187,2,1,1,The Fatback Band,Fatback XII
1,190,1979-09-29,1979-09-29,3,0,0,0,190,2,0,1,David Johansen,In Style
